Company,Time Period,Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
Graviton,More Than Six Months,MEDIUM,01 Matrix,100.0,0.511343939,https://leetcode.com/problems/01-matrix,"Array, Dynamic Programming, Breadth-First Search, Matrix"
IXL,Six Months,EASY,1-bit and 2-bit Characters,100.0,0.451142388,https://leetcode.com/problems/1-bit-and-2-bit-characters,Array
Intuit,More Than Six Months,MEDIUM,132 Pattern,58.0,0.34005594,https://leetcode.com/problems/132-pattern,"Array, Binary Search, Stack, Monotonic Stack, Ordered Set"
Salesforce,More Than Six Months,MEDIUM,2 Keys Keyboard,36.4,0.590535301,https://leetcode.com/problems/2-keys-keyboard,"Math, Dynamic Programming"
Roku,Three Months,HARD,24 Game,100.0,0.499068538,https://leetcode.com/problems/24-game,"Array, Math, Backtracking"
Gojek,More Than Six Months,MEDIUM,3Sum,100.0,0.368418012,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
Flipkart,Three Months,MEDIUM,3Sum Closest,100.0,0.468012799,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
PayPal,Three Months,MEDIUM,3Sum Smaller,62.8,0.509703929,https://leetcode.com/problems/3sum-smaller,"Array, Two Pointers, Binary Search, Sorting"
Quora,More Than Six Months,MEDIUM,3Sum With Multiplicity,65.1,0.457616592,https://leetcode.com/problems/3sum-with-multiplicity,"Array, Hash Table, Two Pointers, Sorting, Counting"
oyo,More Than Six Months,MEDIUM,4Sum,100.0,0.379801724,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
Avalara,More Than Six Months,HARD,Abbreviating the Product of a Range,100.0,0.243918593,https://leetcode.com/problems/abbreviating-the-product-of-a-range,Math
CRED,More Than Six Months,MEDIUM,Accounts Merge,100.0,0.592835306,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
Yelp,More Than Six Months,MEDIUM,Active Businesses,75.7,0.65914817,https://leetcode.com/problems/active-businesses,Database
